EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6a_nivel_86448000,inp05_input_6b_nivel_D-14H_86448000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_16_nivel_A-1h_86472600,inp10_input_17_nivel_A-2h_86472600,inp11_input_18_nivel_A-4h_86472600,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,RNA_CM,ERRO_CM,ERRO_ABS_CM,E2_RNA,E2_PERS,PERS_BASE_NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA
2,1,Validacao,2023,6,17,20,0,202306172000,2023-06-17 20:00,641,-5,6.572342657342655,14987,-11,753,-10,9,3,7,10,594,641,602.8934949768944,8.89349497689443,8.89349497689443,79.09425290404647,2209,641,594
2,1,Validacao,2023,6,17,21,0,202306172100,2023-06-17 21:00,638,-3,6.205675990675988,14987,-8,745,-13,17,2,5,12,588,638,602.3483325005441,14.34833250054407,14.34833250054407,205.8746455461694,2500,638,588
2,1,Validacao,2023,6,17,22,0,202306172200,2023-06-17 22:00,632,-6,5.577470862470862,14984,-6,740,-13,9,-3,-1,6,581,632,574.0957210373762,-6.904278962623835,6.904278962623835,47.66906799373005,2601,632,581
2,1,Validacao,2023,6,17,23,0,202306172300,2023-06-17 23:00,624,-8,5.171060606060604,14980,-1,732,-13,0,-2,-5,0,574,624,564.0483201917108,-9.951679808289214,9.951679808289214,99.03593100671124,2500,624,574
2,1,Validacao,2023,6,18,0,0,202306180000,2023-06-18 00:00,620,-4,4.927470862470861,14976,-10,722,-18,-8,4,2,1,568,620,580.278597556,12.27859755600002,12.27859755600002,150.7639579422097,2704,620,568
2,1,Validacao,2023,6,18,1,0,202306180100,2023-06-18 01:00,613,-7,4.760804195804194,14973,-13,715,-17,2,-3,1,-4,564,613,548.2706960089408,-15.72930399105917,15.72930399105917,247.4110040431499,2401,613,564
2,1,Validacao,2023,6,18,7,0,202306180700,2023-06-18 07:00,574,-7,3.007424242424241,14971,-18,674,-13,4,0,-1,0,509,574,518.6271481920894,9.627148192089408,9.627148192089408,92.68198231245034,4225,574,509
2,1,Validacao,2023,6,18,8,0,202306180800,2023-06-18 08:00,568,-6,2.840757575757575,14989,3,670,-9,-1,1,1,-1,510,568,524.1108493985981,14.11084939859813,14.11084939859813,199.1160707499173,3364,568,510
2,1,Validacao,2023,6,18,9,0,202306180900,2023-06-18 09:00,564,-4,2.632424242424241,14991,9,654,-20,-11,2,3,2,511,564,529.533656655344,18.53365665534398,18.53365665534398,343.496429018176,2809,564,511
2,1,Validacao,2023,6,18,10,0,202306181000,2023-06-18 10:00,559,-5,2.449090909090908,14989,2,629,-41,-20,-1,1,2,510,559,514.8548361323118,4.854836132311789,4.854836132311789,23.56943387160009,2401,559,510
2,1,Validacao,2023,6,18,11,0,202306181100,2023-06-18 11:00,549,-10,2.321818181818181,14987,0,611,-43,-10,-5,-6,-3,509,549,489.894991413577,-19.10500858642297,19.10500858642297,365.0013530872953,1600,549,509
3,3,Treino,2023,7,11,16,0,202307111600,2023-07-11 16:00,433,-3,1.805128205128205,14860,-27,519,-5,3,-1,0,0,415,433,396.5706180347556,-18.42938196524437,18.42938196524437,339.6421196208746,324,433,415
3,3,Treino,2023,7,11,17,0,202307111700,2023-07-11 17:00,431,-2,4.278205128205128,14858,-26,515,-5,0,1,0,1,413,431,401.6256802982476,-11.37431970175237,11.37431970175237,129.3751486776721,324,431,413
3,3,Treino,2023,7,11,18,0,202307111800,2023-07-11 18:00,428,-3,4.978205128205128,14857,-24,514,-5,3,-1,0,0,411,428,395.0675441142564,-15.93245588574359,15.93245588574359,253.8431505511657,289,428,411
3,3,Treino,2023,7,12,1,0,202307120100,2023-07-12 01:00,413,-2,5.544871794871794,14848,-20,498,-5,-1,0,0,0,405,413,387.2552502314593,-17.74474976854071,17.74474976854071,314.8761443481257,64,413,405
3,3,Treino,2023,7,12,2,0,202307120200,2023-07-12 02:00,411,-2,5.529487179487178,14848,-19,498,-3,3,0,0,0,406,411,385.8937823023672,-20.10621769763281,20.10621769763281,404.259990104603,25,411,406
3,3,Treino,2023,7,12,3,0,202307120300,2023-07-12 03:00,409,-2,5.53076923076923,14848,-17,495,-3,0,0,0,0,412,409,384.6946622913055,-27.30533770869454,27.30533770869454,745.5814673858558,9,409,412
3,3,Treino,2023,7,12,4,0,202307120400,2023-07-12 04:00,408,-1,5.553205128205127,14847,-16,494,-4,2,1,1,1,417,408,387.3355031793467,-29.66449682065331,29.66449682065331,879.9823716225504,81,408,417
3,3,Treino,2023,7,12,5,0,202307120500,2023-07-12 05:00,406,-2,8.714743589743588,14846,-16,492,-3,2,-1,0,0,425,406,382.8203389723176,-42.17966102768241,42.17966102768241,1779.123804410191,361,406,425
3,3,Treino,2023,7,12,6,0,202307120600,2023-07-12 06:00,405,-1,15.76858974358974,14848,-12,492,-2,1,1,0,1,436,405,391.8140517385741,-44.18594826142589,44.18594826142589,1952.398023761406,961,405,436
